10 1959 1.5
20 3653 1.2
30 5479 1.1666666666666667
40 7474 1.3
50 9219 1.24
60 11196 1.2666666666666666
70 12780 1.1714285714285715
80 14688 1.2
90 16472 1.2
100 18327 1.21
110 20225 1.21
120 22065 1.23
130 24055 1.28
140 25632 1.16
150 27420 1.19
160 29220 1.17
170 30925 1.2
180 32656 1.17
190 34524 1.18
200 36365 1.17
210 38016 1.1
220 39960 1.14
230 41781 1.11
240 43515 1.15
250 45192 1.09
260 47243 1.16
270 48984 1.17
280 50742 1.16
290 52591 1.16
10 1660 0.8
20 3642 1.25
30 5480 1.2333333333333334
40 7458 1.35
50 9156 1.24
60 10824 1.1666666666666667
70 12529 1.1285714285714286
80 14199 1.0875
90 16035 1.0888888888888888
100 18022 1.14
110 19694 1.15
120 21496 1.1
130 23301 1.09
140 25510 1.15
150 27237 1.17
160 28991 1.19
170 30703 1.19
180 32452 1.22
190 34265 1.24
200 35971 1.17
210 37677 1.18
220 39519 1.2
230 41406 1.23
240 43162 1.1
250 44791 1.07
260 46848 1.14
270 48706 1.18
280 50425 1.17
290 52022 1.11
300 53692 1.1
310 55699 1.16
320 57318 1.09
330 59229 1.11
340 60835 1.09
350 62744 1.15
360 64416 1.05
370 66302 1.07
380 68038 1.07
390 69793 1.12
400 71653 1.17
410 73210 1.06
420 74750 1.04
430 76333 0.93
440 78083 0.95
450 79577 0.86
460 81300 0.9
470 82933 0.83
480 84835 0.87
490 86749 0.88
500 88436 0.83
510 90149 0.88
520 91852 0.91
530 93617 0.97
540 95161 0.91
550 96743 0.93
560 98262 0.86
570 99881 0.84
580 101488 0.77
590 103340 0.77
600 105286 0.83
610 107194 0.88
620 108856 0.89
630 110858 0.96
640 112549 1.0
650 114549 1.11
660 116430 1.22
670 118103 1.25
680 119749 1.26
690 121674 1.26
700 123727 1.3
710 125532 1.29
720 127135 1.26
730 128868 1.18
740 130619 1.2
750 132231 1.12
760 133981 1.08
770 135577 1.07
780 137238 1.07
790 139177 1.09
800 140974 1.02
810 142675 0.98
820 144224 0.97
830 145793 0.94
840 147431 0.92
850 149233 0.95
860 151057 0.96
870 152667 0.96
880 154642 1.05
890 156434 1.03
900 158574 1.14
910 160343 1.16
920 162040 1.2
930 163874 1.26
940 165778 1.33
950 167474 1.31
960 169233 1.3
970 170994 1.32
980 172700 1.26
990 174571 1.27
1000 176467 1.21
1010 178306 1.22
1020 180120 1.26
1030 181946 1.26
1040 183579 1.2
1050 185586 1.29
1060 187367 1.31
1070 189390 1.38
1080 191192 1.38
1090 192991 1.36
1100 194791 1.31
1110 196825 1.36
1120 198725 1.38
1130 200743 1.44
1140 202519 1.46
1150 204208 1.37
1160 206268 1.42
1170 208152 1.4
1180 210040 1.43
1190 211798 1.42
1200 213504 1.41
1210 215446 1.42
1220 217393 1.44
1230 219198 1.39
1240 220945 1.4
1250 222649 1.42
1260 224551 1.41
1270 226715 1.49
1280 228535 1.5
1290 230466 1.55
1300 232232 1.56
1310 234154 1.57
1320 236112 1.57
1330 237896 1.57
1340 239552 1.55
1350 241369 1.58
1360 243451 1.63
1370 245468 1.58
1380 247658 1.67
1390 249351 1.62
1400 251400 1.69
1410 253323 1.66
1420 255374 1.69
1430 257267 1.72
1440 259276 1.81
1450 261027 1.77
1460 262835 1.69
1470 264536 1.61
1480 267049 1.68
1490 269071 1.76
1500 271127 1.79
1510 273358 1.91
1520 275542 1.94
1530 277508 1.96
1540 279556 1.99
1550 281759 2.11
1560 283789 2.18
1570 286566 2.45
1580 288771 2.38
1590 290678 2.36
1600 292982 2.45
1610 295175 2.44
1620 296969 2.35
1630 299204 2.42
1640 301814 2.54
1650 303810 2.51
1660 305639 2.47
1670 307820 2.34
1680 309972 2.36
1690 312133 2.43
1700 314635 2.45
1710 316869 2.43
1720 319413 2.63
1730 321859 2.68
1740 324211 2.63
1750 326344 2.69
1760 328441 2.74
1770 330726 2.76
1780 333387 2.83
1790 335659 2.88
1800 338043 2.86
1810 340431 2.9
1820 342853 2.95
1830 345196 2.95
1840 347730 2.98
1850 350331 3.14
1860 352716 3.31
1870 354983 3.31
1880 357793 3.42
1890 359828 3.32
1900 362206 3.32
1910 364771 3.38
1920 367763 3.54
1930 370455 3.61
1940 373357 3.72
1950 376112 3.73
1960 378651 3.7
1970 381481 3.92
1980 383886 3.8
1990 386102 3.91
2000 388592 4.0
2010 390948 3.95
2020 393465 3.76
2030 395950 3.76
2040 398464 3.72
2050 401097 3.72
2060 403710 3.75
2070 406265 3.62
2080 409027 3.82
2090 411687 3.89
2100 414270 3.91
2110 416854 3.97
2120 419292 4.05
2130 421817 4.02
2140 424526 4.16
2150 427068 4.13
2160 429254 4.04
2170 431596 4.0
2180 433965 3.86
2190 436757 3.97
2200 439153 3.98
2210 441659 3.95
2220 443848 3.76
2230 446692 3.91
2240 449457 3.77
2250 452031 3.79
2260 454503 3.87
2270 457340 4.0
2280 459954 4.03
2290 462415 3.88
2300 464722 3.78
2310 466938 3.72
2320 469750 3.9
2330 472540 3.85
2340 474621 3.72
2350 477445 3.78
